2.2001 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.3421 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
22.0448 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fafd066ac70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7faf9d26a6a0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.0451 	EXP 	window1: mouseVisible = True
22.0463 	EXP 	window1: mouseVisible = False
22.0463 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
22.0463 	EXP 	window1: recordFrameIntervals = False
22.2114 	EXP 	window1: recordFrameIntervals = True
22.3956 	EXP 	Screen (0) actual frame rate measured at 59.84Hz
22.3957 	EXP 	window1: recordFrameIntervals = False
25.2324 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
25.2381 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
25.2400 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
25.2408 	EXP 	New trial (rep=0, index=0): None
25.2618 	EXP 	grating: ori = 0.0
25.2618 	EXP 	fixation: autoDraw = True
26.2376 	EXP 	grating: autoDraw = True
26.2376 	EXP 	grating: tex = 'sin'
26.2709 	EXP 	fixation: autoDraw = False
26.5387 	EXP 	grating: autoDraw = False
27.4285 	EXP 	New trial (rep=1, index=0): None
27.4331 	DATA 	Keypress: down
27.4409 	EXP 	fixation: autoDraw = False
27.4409 	EXP 	grating: autoDraw = False
27.4409 	EXP 	grating: ori = 0.0
27.4409 	EXP 	fixation: autoDraw = True
28.4274 	EXP 	grating: autoDraw = True
28.4440 	EXP 	fixation: autoDraw = False
28.7279 	EXP 	grating: autoDraw = False
29.2660 	EXP 	New trial (rep=2, index=0): None
29.2686 	DATA 	Keypress: down
29.2790 	EXP 	fixation: autoDraw = False
29.2790 	EXP 	grating: autoDraw = False
29.2790 	EXP 	grating: ori = 0.0
